;Unnamed: 0;Nom;Type;Description;Produit(s);Détails produits;Détails conditionnement;Productions éligibles loi EGalim;Label(s);Autres(s) label(s);Agrément sanitaire;Mode de distribution;Lieu(x) de distribution;Zone de livraison possible;Détails distribution;Restauration collective;Commentaires;Contact(s);Adresse;Commune;Intercommunalité;Délégation;Mail;Site internet;Téléphone (1);Téléphone (2);x;y
0;0;GAEC Le Grand Large;Producteur;Production bovine et ovine Bio - vente de lait cru;Lait;Lait / ;;OUI;"ABeuro;ABfrance;";;Détenteur d'une dérogation;Vente directe;;15km;;Je souhaite approvisionner la restauration collective;;Céline GESLIN;Les Landes du Bourg;Assérac;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);Délégation Saint-Nazaire;fermebiolegrandlarge@gmail.com;www.fermebiolegrandlarge.fr;06 03 42 94 54;;47.43698399212358;-2.400515780386297
1;1;Biscuiterie Le Phare;Producteur;Fabrication de gâteaux bretons;Biscuits;Galettes, palets, fars bretons, kouign amann, Madeleines / ;;NON;;;Non concerné;Vente directe;;0km;;Je souhaite approvisionner la restauration collective;;Christophe JADEAU;8 rue Olivier Guichard;Batz-sur-Mer;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);Délégation Saint-Nazaire;biscuiterielephare@wanadoo.fr;www.biscuiterie-le-phare.com;02 40 23 85 76;;47.2779892;-2.4661827
2;2;SARL Les Vents d'Anges ;Producteur;Production de farines ;Farines;Farine de froment T80 et farine de sarrain / ;1 kg, 5 kg ou 20 kg  / ;NON;;;Non concerné;Vente directe;;30 km (offert jusqu'à 15 km);;Je souhaite approvisionner la restauration collective;;Emmanuelle JEAN ;1, lieu dit la Bicane;Campbon;CC Estuaire et Sillon;Délégation Saint-Nazaire;manuejean@hotmail.fr;;06 01 02 54 65;;47.40538199449038;-2.002647979861343
3;3;La Ferme de Pitoué;Producteur;Production maraîchère Bio;Légumes;Légumes de saison / ;Variable / ;OUI;"ABeuro;ABfrance;";;Non concerné;Vente directe;;15km;;J'approvisionne actuellement la restauration collective;;"Julie AUGER
Vincent PEYNOT";20 La Croletais;Campbon;CC Estuaire et Sillon;Délégation Saint-Nazaire;fermedepitoue@laposte.net;;06 63 08 55 38;;47.4006134;-1.9702323
4;4;Ferme du Bois Joubert;Producteur;Elevage bovin et porcin Bio, production céréalière et transformation en produits laitiers;Produits laitiers, viande bovine et porcine, céréales.;"Produits laitiers / Viande bovine / Viande porcine / (1) Mélange céréalier grain
(2) Féverole / Pois protéagineux / ";;OUI;"ABfrance;";;Non renseigné;Non concerné;;Non renseigné;;Non renseigné;;Nicolas GUERIN;Le Bois Joubert;Donges;CA de la Région Nazairienne et de l'Estuaire (Carene);Délégation Saint-Nazaire;fermedeboisjoubert@orange.fr;;02 40 61 31 10;;47.3558801;-2.1261406
5;5;;Producteur;;;Viande bovine / ;;NON;;;Détenteur d'une dérogation;Via intermédiaire(s);;70km;Groupe Covia Viandes Challans;J'approvisionne actuellement la restauration collective;;Dominique LABOUR;;Donges;CA de la Région Nazairienne et de l'Estuaire (Carene);Délégation Saint-Nazaire;;;;;3000000.0;3000000.0
6;6;Champi 44;Producteur;Production de champignons;Champignons;Pleurotte et shikaté / ;;NON;;;Non renseigné;Via intermédiaire(s);;Non renseigné;FL44;J'approvisionne actuellement la restauration collective;;;Le Psais;Donges;CA de la Région Nazairienne et de l'Estuaire (Carene);Délégation Saint-Nazaire;;;02 40 91 82 93;;47.47159664008811;-2.080696500286442
7;7;GAEC de l'Ile Adet;Producteur;Elevage bovin Bio ;Viande bovine;Viande de bœuf et veau bio race à viande / ;;OUI;"ABeuro;ABfrance;";;Non concerné;Vente directe et via intermédiaire(s);Unebio;25km;;Je souhaite approvisionner la restauration collective;;Camille PRIN;La Maillerelle;Frossay;CC du Sud-Estuaire;Délégation pays de Retz;camilleprin@laposte.net;;06 19 83 15 79;;47.2118164;-1.8877971
8;8;Ferme de Sergonne;Producteur;Production maraîchère Bio diversifée, vente directe, acceuil pédagogique;Légumes;"(1) Légumes
(2) Légumes secs
(3) Pommes de terre / ";;OUI;"ABfrance;";;Non renseigné;Non concerné;;Non renseigné;;Non renseigné;Il approvisionne la cantine scolaire de Frossay.;Vincent BLONDEAU;Sergonne;Frossay;CC du Sud-Estuaire;Délégation pays de Retz;vincent.blondeau@yahoo.fr;http://www.fermedesrgonne.fr;06 32 46 63 36;;47.2145435;-1.9039232
9;9;GAEC Les Chèvres du Cougou;Producteur;Elevage caprin Bio et transformation de produits laitiers;Fromages et fromages blanc de chèvre;"(1) Tomme
(2) Fromage blanc
(3) Fromage crottin frais et demi-sec   (4) tartinable ail et fines herbes (5) reblochèvre / ";;OUI;"ABeuro;ABfrance;";;Détenteur d'une dérogation;Vente directe;;50km;;Je souhaite approvisionner la restauration collective;;"Emmanuelle JOSSE
Morgane LE POGAMP";Bleuben;Guenrouët;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;Délégation Saint-Nazaire;leschevresducougou@gmail.com;fr-fr.facebook.com/chevresducougou;06 49 47 09 54;;47.5514251;-2.0071857
10;10;Ferme de Bel Air;Producteur;Elevage et transformation bovine, ovine et porcine Bio;Viande bovine, porcine, ovine;Veau petit débit / Découpe de porc au détail, verrines de charcuterie / Découpe agneau / ;;OUI;"ABeuro;ABfrance;";;Détenteur d'une dérogation;Vente directe;;50km;;Je souhaite approvisionner la restauration collective, ultérieurement;;Michaela BRAUN-GALONNIER;Bel Air;Guenrouët;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;Délégation Saint-Nazaire;braun-galonnier@orange.fr;www.fermedebelair.com;02 40 87 72 02;;47.49659647068823;-1.9800899865057715
11;11;Les plumes de l'Isac;Producteur;Production d'œufs Bio;Œufs;Œufs / ;;OUI;"ABeuro;ABfrance;";;Détenteur d'une dérogation;Vente directe;;50km;;Je souhaite approvisionner la restauration collective;;Vanessa LELANT;6 Bleuben;Guenrouët;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;Délégation Saint-Nazaire;vanessa.lelant@gmail.com;;07 71 65 64 82;;47.5514251;-2.0071857
12;12;Philippe DOCET;Producteur;Elevage bovin;Bœuf;Bœuf race limousine / ;;NON;;;Non renseigné;Vente directe;;Non renseigné;;Je souhaite approvisionner la restauration collective;Pour l'instant, vente sur pied;Philippe DOCET;Bodeleau;Guenrouët;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;Délégation Saint-Nazaire;;;06 17 60 54 69;;47.49841278503812;-2.0106736424935656
13;14;Gaec de la Pature;Producteur;Elevage bovin lait et production maraîchère Bio;Légumes, viande bovine;pommes de terre, carotte, choux divers, oignons, poireaux / bourguignon, rôti / ;;OUI;"ABeuro;ABfrance;";;Non concerné;Vente directe et via intermédiaire(s);savemay;30km;Mangerbio44;J'approvisionne actuellement la restauration collective;;Benjamin DESBOIS;Drieno, la Madeleine;Guérande;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);Délégation Saint-Nazaire;gaecdelapature@gmail.com;;06 77 47 46 42;;47.3442402939919;-2.3713051404331598
14;15;Les vignes marines;Producteur;Mytiliculture, culture de moules de filières;moules de cordes pleine mer;moules de cordes pleine mer / ;;OUI;"ABeuro;ABfrance;LR;";;Détenteur d'une dérogation;Vente directe;;30km;;Je souhaite approvisionner la restauration collective;;Charline BROCHARD;8 Léniphen;Guérande;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);Délégation Saint-Nazaire;lesvignesmarines@gmail.com;www.lesvignesmarines.fr;09 60 44 57 69;;47.28911035;-2.439975237024485
15;16;Le potager de Lili - EARL Lemoine;Producteur;Production maraîchère;Légumes;Tomate, concombre, radis rose, céleri, chou fleur, chou frisé, courgette etc / ;;NON;;;Non renseigné;Vente directe et via intermédiaire(s);;100km;Bouyer-Guindon;J'approvisionne actuellement la restauration collective;;Enrique LEMOINE;La Signolais;Guérande;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);Délégation Saint-Nazaire;Earl.lemoine@live.fr;www.facebook.com/earl.lemoine;06 21 06 10 62;;47.33867;-2.4432349
16;17;EARL Les Jardins de Domhery;Producteur;Production maraîchère Bio;Légumes;Carotte, salades, courgette, tomate, betterave, celeri / ;;OUI;"ABeuro;ABfrance;";;Non concerné;Vente directe;;20km;;J'approvisionne actuellement la restauration collective;;Benoît EON;38 rue du Parc des Menuns;Guérande;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);Délégation Saint-Nazaire;benoit@bio-legumes.fr ;;06 09 32 41 11;06 16 11 76 08;47.3583356;-2.4348931
