;Unnamed: 0.1;Unnamed: 0;Nom de la structure;Adresse;Code postal;Commune;Intercommunalité;Délégation;Téléphone;Email;Domaine;Cuisine centrale;Type de structure;Statut;Nombre de repas par jour;Type de restauration;Préparation des repas;Type de gestion;Société prestataire;Fin de contrat avec le prestataire;Adresse du prestataire;Démarche ou label d'établissement;Commentaires;x;y
2;2;2;Collège René Guy Cadou (Montoir-de-Bretagne);2, avenue de l'Ile de France;44 550;Montoir-de-Bretagne;CA de la Région Nazairienne et de l'Estuaire (Carene);Délégation Saint-Nazaire;02 40 45 51 70;ce.0440539x@ac-nantes.fr;Education;Non;Collège;Public;278;Production et consommation sur place;Cuisine sur place;Gestion directe;Aucune;Non renseigné;Non renseigné;Aucun;Achats en grande partie en produits locaux.;47.330126;-2.1516168
32;32;32;Collège Arthur Rimbaud;6, avenue des Herlains;44 480;Donges;CA de la Région Nazairienne et de l'Estuaire (Carene);Délégation Saint-Nazaire;02 40 45 71 97;ce.0441727n@ac-nantes.fr;Education;Non;Collège;Public;272;Production et consommation sur place;Cuisine sur place;Gestion directe;Aucune;Non renseigné;Non renseigné;En cours de labellisation Ecocert en cuisine;;47.3260813;-2.0737197
48;48;48;Collège Saint Jean Baptiste (Guérande);16, boulevard du Midi;44 350;Guérande;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);Délégation Saint-Nazaire;02 40 24 90 55;cuisine@sjb-lamennais.net ;Education;Non;Collège;Privé;1900;Production pour consommation sur place et livraisons à des restaurants satellites;Cuisine sur place;Gestion directe;Aucune;Non renseigné;Non renseigné;Aucun;1200 sur place et 700 livrés à 3 écoles;47.3264227;-2.4318731
50;50;50;Bois Rochefort;3, impasse Anne de Bretagne;44 350;Guérande;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);Délégation Saint-Nazaire;02 40 24 79 34;ce.0440562x@ac-nantes.fr;Education;Non;Ecole primaire;Public;237;Production et consommation sur place;Cuisine sur place;Gestion directe;Aucune;Non renseigné;Non renseigné;Aucun;;47.331949;-2.4281883
53;53;53;OGEC St Jean de Baptiste;16, boulevard du Midi;44 350;Guérande;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);Délégation Saint-Nazaire;02 40 24 90 55;cuisine@sjb-lamennais.net ;Education;Oui;Organisme de gestion de l'enseignement catholique;Privé;1900;Production pour consommation sur place et livraisons à des restaurants satellites;Cuisine sur place;Gestion directe;Aucune;Non renseigné;Non renseigné;Aucun;1200 sur place et 700 livrés à 3 écoles;47.3264227;-2.4318731
56;56;56;Collège Jacques Brel;1, rue des Collèges;44 350;Guérande;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);Délégation Saint-Nazaire;02 40 24 92 62;ce.0440538w@ac-nantes.fr;Education;Non;Collège;Public;559;Production et consommation sur place;Cuisine sur place;Gestion directe;Aucune;Non renseigné;Non renseigné;Label Ecocert en cuisine niveau 1;;47.3364685;-2.4151937
57;57;57;Lycée Olivier Guichard;12, rue de la Fauvette;44 350;Guérande;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);Délégation Saint-Nazaire;02 40 24 93 10;gestionnaire.0441550W@ac-nantes.fr;Education;Non;Lycée;Public;353;Production et consommation sur place;Cuisine sur place;Gestion directe;Aucune;Non renseigné;Non renseigné;Aucun;Préconisation de la région 100% français, 50% régional, 50% sous signe de qualité dont 20% de bio.;47.34116635;-2.42284986154971
60;60;60;Collège du Pays Blanc;6, rue Maurice Vaillant;44 350;Guérande;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);Délégation Saint-Nazaire;02 51 73 06 10;ce.0442368k@ac-nantes.fr;Education;Non;Collège;Public;326;Production et consommation sur place;Cuisine sur place;Gestion directe;Aucune;Non renseigné;Non renseigné;Aucun;;47.3384477;-2.4335625
64;64;64;Ecole René Guy Cadou;16, rue René Guy Cadou;44 410;Herbignac;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);Délégation Saint-Nazaire;02 40 88 90 65;ce.0440567C@ac-nantes.fr;Education;Non;Ecole primaire;Public;180;Production et consommation sur place;Cuisine sur place;Gestion directe;Aucune;Non renseigné;Non renseigné;Aucun;;47.4473908;-2.3125796
65;65;65;Ecole Marie Pape-Carpantier;2, place Olympe de Gouges;44 410;Herbignac;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);Délégation Saint-Nazaire;02 40 53 04 31;ce.0442773a@ac-nantes.fr;Education;Non;Ecole primaire;Public;180;Production et consommation sur place;Cuisine sur place;Gestion directe;Aucune;Non renseigné;Non renseigné;Aucun;;47.4471383;-2.3241288772935773
