;Nom;Commune;x;y
0;GAEC Le Grand Large;Assérac;47.43698399212358;-2.400515780386297
1;Biscuiterie Le Phare;Batz-sur-Mer;47.2779892;-2.4661827
2;Ferme du Bois Joubert;Donges;47.3558801;-2.1261406
3;;Donges;47.3759618143111;-2.0985627704436496
4;Champi 44;Donges;47.47159664008811;-2.080696500286442
5;GAEC Les Chèvres du Cougou;Guenrouët;47.5514251;-2.0071857
6;Ferme de Bel Air;Guenrouët;47.49659647068823;-1.9800899865057715
7;Les plumes de l'Isac;Guenrouët;47.5514251;-2.0071857
8;Philippe DOCET;Guenrouët;47.49841278503812;-2.0106736424935656
9;Gaec de la Pature;Guérande;47.3442402939919;-2.37130514043316
10;Les vignes marines;Guérande;47.28911035;-2.439975237024485
11;Le potager de Lili - EARL Lemoine;Guérande;47.33867;-2.4432349
12;EARL Les Jardins de Domhery;Guérande;47.3583356;-2.4348931
13;EARL HUITRIC Producteur;Guérande;47.2927322;-2.3932675
14;SCA Les Salines de Guérande;Guérande;47.31655793396775;-2.452608703959664
15;GAEC La Ferme de Lévéra;Guérande;47.3478698;-2.3631771
16;Les Ruchers du Pays Blanc;Herbignac;47.4084554;-2.3571473
17;Les Vergers du Littoral;Herbignac;47.4278595;-2.3343357
18;GAEC de la Grée;Herbignac;47.4417465;-2.3647118
19;Burban Producteur;La Baule-Escoublac;47.2896147;-2.3325133
20;Les vergers de la Côte d'Amour;La Baule-Escoublac;47.2825114;-2.3638432
21;Charcuterie Traiteur des Marais;La Chapelle-des-Marais;47.4474911;-2.2408253
22;SA Stephan;La Turballe;47.34720624767652;-2.513616224507701
23;Annapau France SARL;La Turballe;47.34720624767652;-2.513616224507701
24;SARL La Ferme du Bois de Boulle;La Turballe;47.3698017;-2.4793987
25;BROSSEAU;Mesquer;47.3819524;-2.4825245
26;EARL Le Riandon;Missillac;47.46519690928024;-2.144822745983955
27;Jardins de Brière;Missillac;47.4837786;-2.1885455
28;GAEC Les Jardins de la Perrière;Pontchâteau;47.4548248;-2.109637
29;LAPC ASSYA;Pontchâteau;47.4160302909414;-2.0358774162965
30;Ferme de la Pierre de Py ? ;Pontchâteau;47.4555977;-2.1145401
31;ACCES REAGIS Chantier d'insertion;Prinquiau;47.399742499869966;-2.012997531122086
32;Yvon GUIGAND;Prinquiau;47.3673311;-2.0052862
33;Le Fournil de la Barre;Sainte-Anne-sur-Brivet;47.4444701;-2.0452863
